Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Wednesday_13_hrs,7,40.73546666666667,-73.94576666666667,11.333333333333334,15.333333333333334,13.0,3
Wednesday_14_hrs,13,40.77840666666667,-73.9645,18.8,16.4,14.0,15
Wednesday_14_hrs,19,40.70918571428571,-74.0035,21.0,16.714285714285715,14.0,7
Wednesday_14_hrs,9,40.742705882352936,-73.99758235294118,18.470588235294116,16.352941176470587,14.0,17
Wednesday_14_hrs,0,40.754988235294114,-73.97474705882352,17.647058823529413,16.235294117647058,14.0,17
Wednesday_14_hrs,1,40.727094736842105,-73.99713157894737,19.31578947368421,16.473684210526315,14.0,19
Wednesday_14_hrs,7,40.723925,-73.9487,17.75,16.25,14.0,4
Wednesday_14_hrs,2,40.64611428571429,-73.78351428571429,12.0,15.428571428571429,14.0,7
Wednesday_14_hrs,10,40.768499999999996,-73.98708333333333,17.166666666666668,16.166666666666668,14.0,6
Wednesday_15_hrs,13,40.77657894736842,-73.96139473684211,19.68421052631579,16.526315789473685,15.0,19
Wednesday_15_hrs,9,40.744913636363634,-73.9950590909091,17.59090909090909,16.227272727272727,15.0,22
Wednesday_15_hrs,0,40.75522592592593,-73.97675185185186,21.703703703703702,16.814814814814813,15.0,27
Wednesday_15_hrs,19,40.7134,-74.00987777777777,21.444444444444443,16.77777777777778,15.0,9
Wednesday_15_hrs,10,40.764,-73.98795882352941,19.294117647058822,16.470588235294116,15.0,17
Wednesday_15_hrs,1,40.72554761904762,-73.99758571428572,18.333333333333332,16.333333333333332,15.0,21
Wednesday_15_hrs,16,40.678,-73.98533333333333,13.666666666666666,15.666666666666666,15.0,3
Wednesday_16_hrs,9,40.74290322580645,-73.99393870967742,18.70967741935484,16.387096774193548,16.0,31
Wednesday_16_hrs,0,40.75595,-73.976174,17.68,16.24,16.0,50
Wednesday_16_hrs,1,40.72718333333333,-73.99789444444444,17.944444444444443,16.27777777777778,16.0,18
Wednesday_16_hrs,6,40.77086666666667,-73.86656666666667,16.0,16.0,16.0,3
Wednesday_16_hrs,19,40.709516666666666,-74.00696666666667,18.333333333333332,16.333333333333332,16.0,6
Wednesday_16_hrs,10,40.76178461538461,-73.9846,19.23076923076923,16.46153846153846,16.0,13
Wednesday_16_hrs,4,40.63205,-73.9896,12.5,15.5,16.0,2
Wednesday_16_hrs,7,40.7159,-73.94706666666667,16.0,16.0,16.0,3
Wednesday_17_hrs,10,40.76389,-73.98501,16.0,16.0,17.0,10
Wednesday_17_hrs,9,40.74404523809524,-73.99616666666667,17.833333333333332,16.261904761904763,17.0,42
Wednesday_17_hrs,0,40.755812820512816,-73.97717692307693,21.025641025641026,16.71794871794872,17.0,39
Wednesday_17_hrs,7,40.71973333333333,-73.95353333333333,18.333333333333332,16.333333333333332,17.0,6
Wednesday_17_hrs,1,40.72790625,-73.99645625,20.375,16.625,17.0,16
Wednesday_17_hrs,19,40.709985714285715,-74.0086,19.0,16.428571428571427,17.0,14
Wednesday_17_hrs,3,40.8773,-73.8905,5.5,14.5,17.0,2
